Open,High,Low,Close,Adj Close,Volume
70900,71600,70600,70900,69225.46094,14669296
71700,72200,71600,72200,70494.75781,12161798
72700,72700,71400,71700,70006.57031,12686829
71300,71600,70800,71000,69323.09375,14796613
70400,70900,70000,70900,69225.46094,19165568
71100,72300,70800,72000,70299.49219,15050209
72100,72400,70800,71000,69323.09375,12064287
71700,72200,71600,72000,70299.49219,13227285
72100,72200,71100,71900,70201.85156,12541046
72100,72300,71300,71500,69811.30469,13614994
71800,71900,70900,71800,70104.21875,15373696
71300,71700,70900,71200,69518.38281,11100887
70700,71400,70400,71400,69713.65625,11557883
70700,71200,70400,70500,68834.90625,10626603
70200,71500,70100,71300,69616.03125,11411007
72000,72200,71600,71600,69908.9375,12329484
71700,72500,71500,72400,70690.03906,10541901
72500,72600,72000,72600,70885.3125,9442997
72600,72700,72000,72700,70982.96094,8783093
73100,73400,72400,72400,71042.8125,12229967
72500,72700,71700,72200,70846.5625,11694765
72700,73200,72600,73000,71631.5625,10722181
73400,73600,72900,73000,71631.5625,10214350
73000,73300,71900,72000,70650.3125,12310610
71900,72400,71500,71600,70257.8125,14777667
71100,71400,69800,69900,68589.67969,17308877
70000,70400,69200,69500,68197.17188,11713926
70200,71500,70100,71500,70159.6875,12177392
71200,72000,71100,71900,70552.1875,10375581
72400,72600,71900,71900,70552.1875,14417279
72500,73400,72400,73400,72024.0625,15882519
73200,73500,72800,73300,71925.9375,10060049
73200,73500,72000,72000,70650.3125,11697900
72700,72800,71300,71700,70355.92969,10896412
71100,71500,70800,71000,69669.04688,9732730
70400,70400,69400,70300,68982.1875,16528926
70100,70900,69900,70400,69080.30469,13418597
70000,70500,69800,70000,68687.79688,14314945
69800,70600,68100,69800,68491.54688,30016221
69900,71700,69300,71700,70355.92969,24261179
71800,72400,70100,70600,69276.55469,19420683
70900,71000,69800,69800,68491.54688,13035420
70100,71200,70000,71100,69767.1875,12299254
70700,71000,69800,69900,68589.67969,13835020
69900,70200,68500,68800,67510.29688,20087090
68800,69100,68200,68300,67019.66406,12360193
67700,69200,67600,68500,67215.92188,10968505
69000,69100,67400,67600,66332.78906,14664709
68000,69600,67900,68900,67608.42188,17259673
68300,68500,67800,68000,66725.29688,10227311
68400,68800,67500,67500,66234.66406,9781038
67500,67900,66900,67300,66038.42188,9352343
66700,67100,66300,67000,65744.04688,13174578
66300,66800,66000,66700,65449.65234,10778652
66000,66700,65800,66300,65057.16016,11745006
66600,67100,66300,66600,65351.53516,9720067
67200,67700,66300,66600,65351.53516,10500242
66700,67100,66400,67100,65842.16406,9549352
68300,68700,67900,68200,66921.53906,15044463
67100,67400,66900,67100,65842.16406,7032462
66800,67000,66500,66800,65547.78906,5824628
66900,67200,66600,66800,65547.78906,9114352
67300,67700,67100,67100,65842.16406,9181223
67100,67200,66400,66900,65645.91406,15964630
66800,71000,66700,71000,69669.04688,29738235
72900,72900,70700,71200,69865.30469,26286495
70900,71500,70200,70700,69374.67969,12330239
70700,70800,69700,70000,68687.79688,11414620
70000,70600,69600,70400,69080.30469,13741241
70200,70300,69600,70300,68982.1875,10688118
70400,70800,70000,70800,69472.8125,11785462
70800,71000,70400,70500,69178.42188,11688599
71100,71600,70300,70900,69570.92969,15955797
71200,71800,70800,71700,70355.92969,21041407
71700,72300,71400,72000,70650.3125,17823512
71300,71700,70200,70200,68884.04688,16040727
70400,70800,69600,69800,68491.54688,11820188
70000,70300,69500,69600,68295.30469,10873015
69200,69800,68800,68900,67608.42188,10796336
68300,68900,68300,68800,67510.29688,9897840
68500,69700,68500,69400,68099.04688,13582516
70000,70000,68400,68600,67666.02344,13143470
68600,69100,68200,68400,67468.75,14886491
67400,67700,66700,67500,66581,23361149
67300,67400,66700,66700,65791.89063,16108313
67100,67300,66000,66000,65101.42578,14386527
66200,67600,66200,66400,65495.97656,19889202
68600,69400,67900,68200,67271.47656,25209349
68600,69700,68200,68900,67961.94531,19311380
68000,68500,67700,68000,67074.19531,9724086
67900,68500,66800,67300,66383.72656,12599299
67700,69900,67400,69400,68455.13281,17299253
68900,70500,68800,70500,69540.15625,16493184
69700,70000,69400,69500,68553.77344,13985012
68900,69200,68100,68800,67863.30469,15204495
68700,69100,68200,68400,67468.75,11625959
68700,68800,67700,68500,67567.39063,12791710
68800,68800,67900,68000,67074.19531,10610703
67000,67900,66700,66700,65791.89063,15517624
67100,67300,66700,67300,66383.72656,11334726
66800,67800,66700,67300,66383.72656,10139270
67600,68300,66900,66900,65989.17969,14488892
67500,68900,67300,68600,67666.02344,13775256
70000,70000,69400,69700,68751.04688,16350031
69700,70200,69500,69600,68652.40625,10322234
69800,70900,69300,70900,69934.71094,22228489
70600,70900,70000,70900,69934.71094,17228731
71300,71400,69700,69900,68948.32813,12901310
69900,70800,69600,70300,69342.88281,12301373
70000,70500,69500,70500,69540.15625,9684347
71300,71300,70300,70400,69441.52344,9246919
71000,71100,70600,70800,69836.07031,9567984
71600,72200,71500,72200,71217.01563,20148677
72500,73000,72300,72800,71808.84375,15860451
72300,73000,72300,72500,71512.92969,11494644
72100,73000,72100,72700,71710.20313,10610157
73100,73400,72700,72800,71808.84375,9712881
72200,73000,71900,72800,71808.84375,11105143
73000,73200,72200,72400,71414.28906,6775614
72400,72600,71700,71700,70723.82031,6676685
71500,72100,71100,71300,70329.26563,9113857
71400,72700,71300,72700,71710.20313,13283081
72400,72800,72200,72700,71710.20313,9283933
72700,72800,72200,72800,71808.84375,15783714
72400,72500,71700,72000,71019.74219,9871284
72800,72900,72400,72600,71611.57031,10229267
72300,72400,71200,71200,70230.63281,12129682
71800,72100,71600,71700,70723.82031,8123087
71800,71900,71100,71500,70526.53906,8862017
72100,72800,71900,72600,71611.57031,10859463
72800,73000,72200,73000,72006.125,9861960
73300,73500,73100,73500,72499.3125,13758646
73300,73500,72800,72800,71808.84375,13116766
74100,74300,72500,73100,72104.76563,27567593
73800,74000,73200,73300,72302.03906,15419815
73300,73400,72800,72900,71907.48438,9690551
73000,73400,72800,73400,72400.67188,8907632
74200,74900,73800,74800,73781.61719,16870156
74600,75000,74300,75000,73978.89063,13478766
75800,76300,75400,75900,74866.63281,14515608
76100,76700,75700,76600,75557.10938,13164909
76700,78000,76500,78000,77302.35938,20651042
77700,78500,77500,78500,77797.89063,17797536
78200,79800,78200,79600,78888.05469,17142847
78500,78800,77000,77000,76311.30469,21753644
76100,77300,76100,76600,75914.88281,15324439
76700,77100,76400,76600,75914.88281,11304316
77000,77500,76400,76500,75815.78125,11088724
77400,77700,74300,74700,74031.875,26019249
75000,75200,73200,73600,72941.71094,20259529
72900,73600,72700,73200,72545.29688,57691266
73000,74100,72800,73100,72446.1875,13038939
73200,74000,73200,73900,73239.03125,2957915
73500,73700,72500,72600,71950.65625,14760415
73100,73300,71000,71000,70364.96875,22683660
71600,72000,70700,71700,71058.70313,17853397
73500,74700,73000,74700,74031.875,23363427
75900,76000,75000,75100,74428.29688,19673375
75700,75800,74300,75200,74527.40625,14786224
75200,75200,73500,74000,73338.13281,12860661
74200,74800,73700,74100,73437.25,11737747
73700,74500,73300,73400,72743.50781,11160062
73800,75200,73500,74400,73734.5625,13976521
75000,75300,73700,74300,73635.45313,12244418
73400,74000,72500,72700,72049.76563,15703560
73000,74200,72900,73600,72941.71094,19881033
74000,75200,73700,75200,74527.40625,14955881
74200,74800,73500,74300,73635.45313,19026021
74300,74700,73300,74400,73734.5625,14559254
74600,75500,74300,75000,74329.1875,16566445
75000,75200,73600,74100,73437.25,20810708
74800,75200,74400,75200,74527.40625,21966745
73700,74300,73700,74000,73338.13281,12434945
74200,74400,73000,73200,72545.29688,14120600
73300,73400,72500,72800,72148.86719,13444781
72800,73900,72800,73800,73139.92188,12726404
73700,73700,72800,73300,72644.39844,14681477
73400,73700,72900,73000,72347.07813,11503495
73800,73900,72700,73100,72446.1875,15208934
73600,74200,72900,72900,72247.96875,16225166
72300,73200,72200,72800,72148.86719,14669352
73100,73400,72700,72900,72247.96875,13201981
72900,73900,72800,73200,72545.29688,11795859
72600,73400,72000,73400,72743.50781,21176403
74300,75000,74000,74900,74230.08594,23210474
74600,74800,73700,73700,73040.82031,19505125
73200,73500,72700,72900,72247.96875,21547905
73100,73300,72200,72200,71554.24219,14516963
72800,73400,72600,73300,72644.39844,19271349
72900,73100,72300,72400,71752.44531,9740504
72600,73500,72100,73300,72644.39844,13011654
73700,74100,73500,74100,73437.25,15243134
74400,74500,73600,74300,73635.45313,22545539
73400,73700,72300,72300,71653.34375,22580555
72600,73000,72500,72800,72148.86719,11520348
72300,73000,71700,72800,72148.86719,15376066
73700,77200,73400,76900,76212.19531,50106297
79200,79300,77700,79300,78590.72656,44569799
79600,79900,77800,78900,78194.3125,26724761
79600,79800,77800,78200,77500.57031,18703996
79700,80100,79200,79900,79185.36719,30551494
79200,80000,79200,79800,79086.25781,17424595
79400,81000,79200,80800,80441.21875,25084812
81200,82500,80900,82400,82034.11719,27126366
83200,83300,82000,82000,81635.89063,20116513
82900,85000,82900,85000,84622.57031,37077944
84300,85000,83500,84100,83726.5625,30493347
85200,85500,84300,85300,84921.23438,25248934
84500,85000,83800,84500,84124.78906,18883752
85200,86000,84500,84500,84124.78906,18953232
84500,84900,83100,83600,83228.78906,23725956
83200,84700,82500,84100,83726.5625,25538009
84700,84900,83200,83700,83328.34375,17061770
82900,83200,81200,82200,81835,26663772
